21	17	2	-1	-33	-4	-1	-2	-2	-3	2	-15	-2	5	-4	87	-3	7	-1	2	-2	-3	-3	-5	2	-3	-2	0	20	1	-2	-2	-1	1	-3	14	3	-4	0	0	-1	0	-1	-2	3	-2	-1	2	-11	12	1	0	-45	-4	0	-3	3	0	-1	3	46	5	-5	7	-1	-3	4	0	-1	-3	-3	2	1	2	3	-2	-1	0	-15	1	0	-3	0	17	1	-1	-25	-7	-1	-1	-1	6	17	2	25	-1	-2	-2	-9	-13	0	-9	-2	-4	2	-20	2	-6	-11	-2	-9	0	-9	-1	-4	-4	-5	2	90	-2	-13	-1	-2	2	0	3	0	38	-4	1	-21	0	2	-3	0	-1	-5	7	9	0	0	-3	-2	-3	-5	0	-1	1	0	-2	-29	1	-4	3	-2	-3	-1	2	11	-1	-2	-4	0	27	-5	7	-3	-2	-1	-21	0	1	37	-50	-3	-3	1	-2	-31	-2	-1	-3	-35	-3	-2	0	-2	-2	0	0	0	-3	-4	0	5	-3	4	-2	-1	1	2	-21	-1	8	5	4	-3	-3	-3	-1	-7	-1	-11	-18	5	2	-1	-1	-1	0	-5	1	7	3	2	-6	-4	-1	-4	-5	-2	5	-5	2	-4	1	1	1	-5	0	-1	0	2	-1	-2	-3	-3	-1	-5	-4	-7	-5	23	2	-1	0	-28	
23	0	4	-50	11	1	-8	34	-2	0	72	21	-4	0	4	0	1	-1	-2	-1	26	-5	-1	20	-16	-3	0	-3	-2	-7	-2	8	26	1	1	-2	-30	-1	2	-9	1	-2	-2	-1	-3	-3	12	-3	-3	-4	-3	-3	0	2	-6	-6	-5	-2	-4	-2	-1	-2	1	-1	-18	-2	0	3	-1	30	1	-55	-1	-3	30	0	-1	-3	1	0	-57	-2	-2	-3	-1	2	-3	-4	-1	0	-5	16	1	25	-2	-3	0	-4	-4	-1	-2	-2	-3	21	-4	-1	-3	1	0	0	-1	-2	3	-2	0	3	2	4	0	2	-14	-4	0	-21	-3	0	2	-2	6	-4	-2	0	-12	-1	-1	-1	43	-1	-6	2	-3	0	2	0	-4	0	1	-1	-1	1	-7	-6	-3	-28	-3	14	-3	1	-78	1	5	8	33	11	0	1	-3	0	-2	1	2	-2	-1	-2	10	-1	1	-3	1	1	-4	5	0	-1	0	-2	1	-11	-1	-1	-3	1	-1	-4	5	0	1	-3	-3	-3	1	-2	-6	-2	0	-4	-2	8	-1	3	49	51	-3	-1	101	-2	-2	-6	0	-3	3	-1	-5	-15	2	60	-3	0	-1	-3	-3	0	2	-2	-10	-1	0	-3	1	-5	-50	-3	-2	1	8	-1	28	-3	1	-14	-5	-3	-1	4	-4	7	0	
25	-3	-2	5	35	-3	-1	-2	3	0	-1	2	0	1	4	-17	-1	-21	-1	5	-1	-4	22	-4	-3	-1	-1	0	-1	-3	-2	-1	-2	-1	-19	3	-4	2	-2	0	-3	0	-1	-2	-24	1	1	1	0	0	0	6	-7	1	1	1	33	0	-2	-5	-13	-11	-5	23	-1	-1	18	1	-4	-1	-41	1	-1	0	0	13	0	1	-1	-3	-11	-1	-8	0	1	2	-2	-22	-4	-2	-19	0	-1	-3	0	-4	-8	-6	-2	-12	1	-2	1	71	-1	1	5	0	-5	-24	19	-3	-8	2	2	13	4	35	1	24	-1	1	2	-5	-2	3	0	-1	1	-2	-5	6	-2	14	2	-3	2	-1	0	40	0	-1	6	-3	1	-2	-2	4	2	1	0	6	-4	-5	-4	-53	-3	0	0	-16	3	1	0	0	-5	-1	-1	1	-6	3	-1	5	-17	-3	-4	0	-11	-3	-3	1	-4	-2	-6	8	-62	-3	-3	-5	-2	1	0	-3	0	1	-3	-26	0	1	2	-3	-2	1	0	0	1	9	-4	-4	1	-3	0	-24	1	-1	-2	3	-3	-6	0	-1	-2	-23	-1	0	1	1	-11	-9	2	-3	-1	-1	-2	0	2	4	-2	3	-3	-1	-13	-1	-4	0	-1	-4	-3	-2	-2	-3	-7	0	46	-1	-32	-2	-2	
27	-1	2	2	-2	33	-3	-1	3	-3	0	1	-2	-1	-1	1	0	-19	11	0	1	8	1	3	-3	-3	-2	-1	1	3	-2	-2	1	0	-4	1	0	-3	-4	-2	88	0	2	-2	3	0	12	1	1	1	-9	-5	-3	-2	1	-1	-3	-2	0	-2	-17	0	-14	-11	-1	4	1	-30	-1	-2	0	2	-1	-13	2	5	3	-2	-25	-25	-2	-4	0	-37	45	-4	2	2	-1	-20	-2	-1	1	1	0	-1	-2	4	-2	-3	-2	0	-21	0	2	-22	-8	18	-2	4	-1	-1	-4	1	13	3	-2	-3	11	0	-1	-1	-3	-1	-1	2	0	0	3	-3	0	-3	-4	2	-2	2	9	3	-1	0	0	6	-1	1	-10	-28	-1	-2	-3	-1	-3	3	0	0	69	-4	-3	12	-1	-5	4	3	0	-1	-1	2	-1	2	-3	-4	-14	7	18	-3	-5	1	-1	1	-11	-48	-2	2	-5	-1	0	-6	-14	-4	-2	4	0	-1	0	-69	-6	14	-6	-3	-1	1	13	1	22	-1	20	-1	-6	-18	0	-18	-4	1	-3	-4	-5	-5	1	2	-1	-4	-3	0	-18	-2	4	-3	2	-9	-4	56	2	1	2	2	1	2	1	1	-5	1	-1	2	-5	-2	-1	10	-1	0	-2	-2	-4	-3	4	-4	14	1	-1	
29	-4	2	-8	-46	-3	0	0	-5	-3	-4	-2	-2	-5	2	0	0	-3	-3	-3	0	2	-2	0	-1	31	-1	-1	0	-2	2	0	0	-1	2	2	-3	0	17	-4	5	-3	2	-33	1	0	4	28	-1	-3	-3	-1	-3	3	-1	8	-3	6	-3	-6	-2	-3	-3	-95	-2	-2	1	-4	9	-2	2	3	-3	31	-3	1	31	-2	-2	2	-3	-3	3	-4	2	3	1	-13	-5	-3	-2	10	-3	2	-2	1	-8	-22	-3	1	0	-6	1	2	50	-3	0	-2	1	-3	-2	-2	0	50	-7	-1	-1	1	21	-2	0	-4	1	3	-25	-4	0	-2	-7	-1	-4	3	-1	-3	-1	-4	-3	-3	-7	-4	-2	-2	-3	-5	-3	1	-2	-1	3	0	-3	2	0	1	1	0	2	-3	-12	1	-1	0	-2	-13	-1	-1	3	3	-1	2	11	1	-1	5	1	-6	5	-1	-1	-4	-12	-3	1	5	-4	-1	15	0	2	0	7	-4	-20	-1	1	0	0	0	-1	-5	-60	-2	-3	-1	-4	-4	-3	-12	-2	-16	-2	-3	-33	-4	-1	3	2	-11	-5	-2	0	-1	-1	0	-1	-3	-4	-18	-3	0	-1	2	1	-2	-2	-3	-19	-4	0	-2	-33	2	2	-1	-4	-2	2	1	-3	-3	0	-1	4	42	0	-5	-2	
31	0	4	-6	-4	-15	0	2	-18	-1	-24	1	-2	0	-2	-4	-1	-2	3	-1	-13	-14	-1	-3	19	-3	-1	1	0	-2	-3	-24	-2	2	1	-1	0	-7	-1	-3	17	24	1	-7	0	-2	0	-2	2	0	-3	1	-3	-3	2	0	1	0	0	1	0	1	5	-1	1	0	6	-15	-4	-5	0	-2	0	2	-1	1	-1	-3	16	1	-2	-3	-1	0	-3	0	1	0	-3	-1	3	-4	-6	-2	-1	-1	-5	2	-3	-3	1	-3	-3	-2	-10	1	0	1	-11	0	0	-40	-3	-5	5	1	-4	-6	-3	-19	-1	1	-3	2	-1	1	-3	-1	-2	-10	4	1	-3	-5	-2	15	-6	-25	-56	-2	12	-3	2	-1	-3	-1	-1	8	13	-4	-7	1	-1	4	1	2	3	-1	0	2	-5	-5	-5	-4	-6	-3	-3	-1	-28	19	-2	56	3	0	-5	0	3	-2	-1	-1	-3	20	23	-1	-2	1	4	3	-4	-3	-1	0	-2	1	-85	-39	26	-2	2	-2	-5	-2	0	2	2	-1	-1	0	-7	-3	1	0	5	44	1	-3	31	-17	2	-4	0	-67	-1	3	-2	27	1	-2	60	-2	-3	0	-2	1	14	-1	0	1	5	-10	3	-2	12	-3	12	-1	1	-106	0	-5	-10	0	-1	2	44	2	48	
33	-65	-2	-1	-4	-1	0	1	0	41	4	7	-3	4	-2	-2	-4	-2	-2	0	4	-6	1	-28	-1	-1	-1	-2	-1	-4	-1	-1	-1	-5	-5	0	1	5	-11	-76	-4	-2	3	-2	-2	-1	-1	1	0	-3	-1	-2	1	-1	-1	4	-3	-2	-2	-1	-2	-3	-3	-26	1	-2	-2	1	-2	4	0	-1	-3	-8	-1	-1	-4	1	12	-2	9	2	-6	-2	-1	1	-1	71	1	-6	0	2	-3	-1	4	0	-2	53	0	1	-1	-4	-4	1	-1	-2	-6	0	0	-1	0	-19	-1	3	1	-3	-4	0	-1	-65	-6	-6	-1	-4	-13	1	3	-1	-2	2	-3	-4	0	0	0	-4	-3	-39	-16	-1	-1	2	-4	0	0	2	1	0	0	-3	1	-5	-3	-2	1	-1	25	2	-3	-3	1	-2	0	-4	-4	0	1	-1	-1	-1	1	81	-9	0	-1	-3	-1	-1	2	-2	-66	-3	0	3	9	-2	-50	-4	-2	-1	-2	0	-2	-3	-4	-2	3	-1	0	-34	1	6	2	-2	0	0	-3	0	-1	1	-5	-2	-1	-1	-2	2	2	-3	-1	1	-9	-2	-39	-3	-49	-7	-2	-2	-7	-69	2	-4	-5	-4	-3	-1	8	-1	4	0	1	-3	5	-3	0	-20	2	-2	0	0	-3	2	2	0	-1	-3	62	
35	0	2	-18	-1	0	1	-4	0	-5	-35	-5	0	-3	11	-23	-4	-2	-1	-3	2	-5	-63	-3	-33	15	-3	1	4	10	4	-2	13	-5	-15	-2	12	0	0	0	3	-2	1	0	0	-9	-1	1	0	0	16	1	-3	-2	0	-2	37	2	16	1	-3	0	-3	-3	1	-9	-2	-3	3	1	-3	0	3	-11	-3	0	-7	4	-2	-4	1	-3	2	1	-2	-2	34	10	-1	0	-3	0	1	-2	-4	-5	-3	-1	-3	-2	-3	0	1	-5	-2	0	-2	-2	1	-4	5	0	-1	-4	-11	2	1	0	-2	-2	4	1	-3	-3	0	0	-6	-45	7	-3	-1	-4	-26	-3	-3	8	-32	-2	1	-4	-21	12	-2	5	6	-2	1	-1	24	0	3	2	-15	-30	-3	3	12	13	0	-4	1	-2	-21	-3	76	-58	-15	0	-2	-3	-3	-11	-1	1	-1	-1	-2	12	-3	2	1	3	4	0	3	0	1	-9	-3	0	-5	-3	-2	1	1	0	1	8	-3	-1	-6	-2	-1	1	-5	-15	-3	-5	-1	1	4	1	5	-8	0	-3	-2	-4	0	-3	-3	-3	-2	2	-9	0	-5	3	-2	-2	-1	-21	0	-1	-5	1	2	-25	0	-2	0	2	17	16	8	-25	2	4	-5	1	-1	-3	-2	-6	-5	-2	39	
37	0	-1	24	0	-6	-1	3	-2	1	-25	-1	0	-3	-5	-23	0	-1	-33	2	-30	-2	-2	-2	0	-10	-2	-5	1	1	3	1	5	40	2	1	-14	60	26	-1	4	4	-4	0	3	-6	-4	-4	-18	1	-2	-3	-4	-4	23	-2	22	-1	-3	-1	-3	-13	-2	-1	-15	-1	10	0	-29	3	-6	4	1	4	-1	-3	0	-12	-1	-26	-2	9	1	-4	-2	10	1	0	2	-5	6	-15	-1	0	-5	-2	-2	-7	-4	-1	-4	-5	1	-14	-7	-1	-1	-4	-4	-3	-3	-2	0	0	0	-1	2	1	43	-1	-20	-3	83	1	-9	-49	4	-29	-1	-32	-5	5	-1	0	10	-3	-1	-2	-3	1	-3	0	1	1	-1	1	-2	3	-4	-3	3	0	-1	-3	-3	0	9	-3	-6	1	41	-1	0	2	51	13	15	-2	-2	1	0	-3	-1	-2	-5	-6	-4	-1	3	-1	-16	-3	-3	0	0	-1	19	-2	-2	-1	-13	26	-5	0	5	-2	1	0	-2	-3	-13	6	0	-2	3	-4	3	-1	-1	2	-27	-3	-4	-1	-2	-1	-2	2	79	0	0	-9	-2	-2	1	-1	-5	-1	-3	5	-2	-4	-10	0	-1	-2	0	12	-8	1	-23	0	-5	-16	-1	0	1	-1	-4	-4	-1	-4	17	1	-7	0	1	
39	1	-1	-33	-2	-3	-1	0	-2	-54	-2	2	-2	1	-1	-1	-1	-3	-9	-3	-1	1	-7	0	5	3	-2	45	-18	-3	0	-1	-2	5	1	-52	23	-1	-1	-2	-14	4	-3	-5	6	-24	-3	31	-4	0	-12	-6	-3	76	1	0	-1	-2	0	27	-7	-4	1	-2	1	0	0	-95	1	1	0	3	-3	-4	-2	-6	4	1	-3	-2	-1	0	-1	0	-25	1	-3	2	34	-11	-3	6	-1	-1	-4	-2	-1	2	-4	-3	1	-1	24	5	1	2	-4	-2	3	0	3	0	0	32	-1	0	-4	-2	1	-22	-45	-2	2	1	-10	-19	-2	1	-2	-16	0	-4	3	-4	-1	-3	1	0	-5	0	-2	0	-2	-3	-23	-4	-4	2	0	1	-11	1	-1	3	3	9	81	80	18	1	1	-8	-1	-1	1	-3	-1	-1	0	-1	-4	6	-2	-1	-1	5	-1	1	1	0	0	-3	-1	1	-4	-1	-1	0	-3	4	30	-14	61	-1	-7	-3	-3	-1	-2	2	-15	-9	-3	0	-1	1	-3	1	0	-25	-2	-4	0	29	1	5	1	-1	0	-2	0	-3	-2	-7	-7	1	1	-3	0	-2	-2	2	4	-2	-1	3	0	-4	-2	0	-3	9	1	2	-1	17	-3	-5	0	0	-3	-1	-4	0	-10	-2	-4	
